"...","-"
"Rt.Rev","Right Reverend"
"Sr.","Senior"
"Jr.","junior"
"Mr.","Mister"
"St.","Street"
"Mrs.","Missus"
"Ms.","Miz"
"Dr.","Doctor"
"Prof.","Professor"
"Capt.","Captain"
"Dr.","Drive" 
"Ave.","Avenue" 
"Blvd.","Boulevard"
"Gen.","General"
" km/h"," kilometers per hour"
" kmh", " kilometers per hour"
"Â±"," plus or minus "
+,plus
World War II,World War Two
World War I,World War One
Czech,Check
xylophone,zylophone
Descartes,Daycarts
Wittgenstein,Vittgenstein
Jutland, Yutland
 pH value, p h value
